,cluster_id,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below,quality
0,0,28.71787014,0.97,0.000187829,0.000713321,225.7169626,4.07E-06,6.730306303,1,0,,36.51,434.14,complete_session,complete_session,3,4.780400271,0.206030151,0.151088777,0.863448147,0.62768364,-0.127149579,252.926895,30,-0.343383585,,good
1,1,13.95835661,0.99,0.013515942,0.5,127.4076096,0.000227862,5.056874873,0.996,0.002816901,0.193979098,61.28,450.4,complete_session,complete_session,5,1.503011897,0.260971524,0.12361809,0.292626799,0.325099278,-0.03208349,86.485035,50,0,-0.686767169,good
2,2,1.203181905,0.83,1.417813997,0.5,51.93562892,0.002133476,5.554232456,0.935353535,0.000508388,0.076396315,11.22,84.16,complete_session,complete_session,5,2.912801916,0.260971524,0.151088777,0.302380863,0.619840826,-0.067239453,141.499605,60,-0.068676717,0.686767169,good
3,3,4.02407262,0.99,0.361156892,0.5,77.44403732,0.000227022,5.967177214,0.981762918,0.000206804,0.097938882,53.53,544.94,complete_session,complete_session,6,2.375355901,0.219765494,0.109882747,0.423180377,0.494082195,-0.091441513,111.83172,70,0.137353434,-0.343383585,good
4,4,5.723612265,0.91,0.398378107,0.5,118.3478759,5.04E-06,7.812918831,0.998525074,0.000139645,0.167275582,32.59,306.43,complete_session,complete_session,7,2.259371892,0.178559464,0.109882747,0.204812785,0.383998458,-0.085674686,102.734385,30,8.24120603,0,good
5,5,6.622304941,0.93,0.060930777,0.5,80.82887969,0.000821974,4.537579845,0.956666667,0.002417835,0.143419673,30.62,311.58,complete_session,complete_session,10,2.20968882,0.219765494,0.12361809,0.224160535,0.464663456,-0.077420006,103.89366,60,0,-0.137353434,good
6,6,0.951903383,0.99,0.341908754,0.120297592,46.48289966,0.004979315,4.471945521,0.847389558,0.000201674,0.145027407,28.51,447.76,complete_session,complete_session,10,3.366411351,0.247236181,0.151088777,0.515572892,0.735140438,-0.168244997,162.08244,80,0.274706868,-0.549413735,good
7,7,11.67794202,0.99,0.022149705,0.395986844,113.6462047,4.62E-05,6.033731024,0.999333333,0.00010502,0.168368195,23.74,232.52,complete_session,complete_session,11,2.870250402,0.219765494,0.109882747,0.495919258,0.546233118,-0.126236584,120.71358,70,0,-0.206030151,good
8,8,49.12267805,0.99,0.064869151,0.016526702,155.2058116,2.70E-06,7.590752207,1,0,0.152861413,25.53,197.05,complete_session,complete_session,14,2.945177864,0.274706868,0.164824121,0.66312986,0.757797155,-0.162991989,183.232725,60,0.343383585,-0.412060302,good
9,9,4.536961841,0.99,0.355580163,0.5,98.39992164,2.38E-05,6.122488236,0.998862344,0.000171697,0.154606487,17.34,268.75,complete_session,complete_session,13,3.021082826,0.260971524,0.151088777,0.494196789,0.603487348,-0.112892433,136.66848,80,-0.137353434,-0.412060302,good